"Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone","Foreign.Worker"
1,1,18,4,"Furniture Or Equipment",1049,1,"Less than 1 year",4,"Male single",1,4,2,"Twenties",3,"For free",1,"Skilled employee",1,1,1
1,1,9,4,"New Car",2799,1,"Less than 4 year",2,"Male married/widowed",1,2,1,"Thirties",3,"For free",2,"Skilled employee",2,1,1
1,2,12,2,"Business",841,2,"Less than 7 year",2,"Male single",1,4,1,"Twenties",3,"For free",1,"Unskilled",1,1,1
1,1,12,4,"New Car",2122,1,"Less than 4 year",3,"Male married/widowed",1,2,1,"Thirties",3,"For free",2,"Unskilled",2,1,2
1,1,12,4,"New Car",2171,1,"Less than 4 year",4,"Male married/widowed",1,4,2,"Thirties",1,"Rent",2,"Unskilled",1,1,2
1,1,10,4,"New Car",2241,1,"Less than 1 year",1,"Male married/widowed",1,3,1,"Forties",3,"For free",2,"Unskilled",2,1,2
1,1,8,4,"New Car",3398,1,"Less than 7 year",1,"Male married/widowed",1,4,1,"Thirties",3,"Rent",2,"Unskilled",1,1,2
1,1,6,4,"New Car",1361,1,"Less than 1 year",2,"Male married/widowed",1,4,1,"Forties",3,"Rent",1,"Unskilled",2,1,2
1,4,18,4,"Radio or Television",1098,1,"Unemployed",4,"Male single",1,4,3,"Sixties",3,"Rent",2,"Unemployed/unskilled",1,1,1
1,2,24,2,"Radio or Television",3758,3,"Unemployed",1,"Male single",1,4,4,"Twenties",3,"For free",1,"Unemployed/unskilled",1,1,1
1,1,11,4,"New Car",3905,1,"Less than 4 year",2,"Male married/widowed",1,2,1,"Thirties",3,"For free",2,"Skilled employee",2,1,1
1,1,30,4,"Used Car",6187,2,"Less than 7 year",1,"Female",1,4,3,"Twenties",3,"For free",2,"Skilled employee",1,1,1
1,1,6,4,"Radio or Television",1957,1,"Less than 7 year",1,"Male single",1,4,3,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
1,2,48,3,"Others",7582,2,"Unemployed",2,"Male married/widowed",1,4,4,"Thirties",3,"Rent",1,"Highly qualified employee",1,2,1
1,1,18,2,"Radio or Television",1936,5,"Less than 7 year",2,"Female",1,4,3,"Twenties",3,"For free",2,"Unskilled",1,1,1
1,1,6,2,"Radio or Television",2647,3,"Less than 4 year",2,"Male married/widowed",1,3,1,"Forties",3,"For free",1,"Skilled employee",2,1,1
1,1,11,4,"New Car",3939,1,"Less than 4 year",1,"Male married/widowed",1,2,1,"Forties",3,"Rent",2,"Unskilled",2,1,1
1,2,18,2,"Radio or Television",3213,3,"Less than 1 year",1,"Female",1,3,1,"Twenties",3,"For free",1,"Skilled employee",1,1,1
1,2,36,4,"Radio or Television",2337,1,"Over 7 years",4,"Male married/widowed",1,4,1,"Thirties",3,"Rent",1,"Skilled employee",1,1,1
1,4,11,4,"New Car",7228,1,"Less than 4 year",1,"Male married/widowed",1,4,2,"Thirties",3,"Rent",2,"Unskilled",1,1,1
1,1,6,4,"New Car",3676,1,"Less than 4 year",1,"Male married/widowed",1,3,1,"Thirties",3,"For free",3,"Skilled employee",2,1,1
1,2,12,4,"New Car",3124,1,"Less than 1 year",1,"Male married/widowed",1,3,1,"Forties",1,"Rent",2,"Unskilled",2,1,1
0,2,36,2,"Repairs",2384,1,"Less than 1 year",4,"Male married/widowed",1,1,4,"Thirties",3,"For free",1,"Unskilled",1,1,1
1,2,12,4,"Domestic Appliances",1424,1,"Less than 7 year",4,"Male married/widowed",1,3,2,"Twenties",3,"Rent",1,"Skilled employee",1,1,1
1,1,6,4,"New Car",4716,5,"Less than 1 year",1,"Male married/widowed",1,3,1,"Forties",3,"Rent",2,"Unskilled",2,1,1
1,2,11,3,"Radio or Television",4771,1,"Less than 7 year",2,"Male married/widowed",1,4,2,"Fifties",3,"Rent",1,"Skilled employee",1,1,1
1,1,12,2,"Furniture Or Equipment",652,1,"Over 7 years",4,"Male single",1,4,2,"Twenties",3,"For free",1,"Skilled employee",1,1,1
1,2,9,4,"Radio or Television",1154,1,"Over 7 years",2,"Male married/widowed",1,4,1,"Thirties",3,"Rent",3,"Unskilled",1,1,1
