"title","rating","duration","certificate","release_date","review_date","reviewer","url","release_year","release_month","sentiment","p_positive","p_negative"
"The Girl With All The Gifts",5,110,"15","2016-09-23","2016-09-19 17:50:00","Helen O'hara"," https://www.empireonline.com/movies/girl-gifts/review/",2016,9,"pos",0.8,0.19
"Suicide Squad",4,123,"15","2016-08-05","2016-08-02 16:17:00","Dan Jolin"," https://www.empireonline.com/movies/suicide-squad/review/",2016,8,"neg",0.39,0.6
"Star Trek Beyond",4,120,"12A","2016-07-22","2016-07-15 15:53:00","Chris Hewitt"," https://www.empireonline.com/movies/star-trek-beyond/review/",2016,7,"pos",0.56,0.43
"Independence Day: Resurgence",4,119,"12A","2016-06-24","2016-06-21 06:00:00","Dan Jolin"," https://www.empireonline.com/movies/independence-day-resurgence-2/review/",2016,6,"pos",0.56,0.43
"Warcraft",2,123,"12A","2016-05-30","2016-05-26 17:51:00","Olly Richards"," https://www.empireonline.com/movies/warcraft/review/",2016,5,"pos",0.5,0.5
"Ran",5,160,"15","1985-01-01","2016-04-01 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/ran/review/",1985,1,"neg",0.41,0.58
"2001: A Space Odyssey",5,149,"U","1968-05-02","2016-02-08 11:01:00","Angie Errigo"," https://www.empireonline.com/movies/2001-space-odyssey/review/",1968,5,"pos",0.57,0.42
"When Harry Met Sally",4,96,"15","1989-11-07","2015-12-07 13:23:00","Ian Nathan"," https://www.empireonline.com/movies/harry-met-sally-2/review/",1989,11,"neg",0.46,0.53
"Krampus",4,98,"15","2015-12-04","2015-12-04 08:41:00","Kim Newman"," https://www.empireonline.com/movies/krampus/review/",2015,12,"pos",0.5,0.5
"Mississippi Grind",4,108,"15","2015-10-23","2015-10-23 00:00:00","Kat Poole"," https://www.empireonline.com/movies/mississippi-grind/review/",2015,10,"pos",0.64,0.35
"The Lobster",3,118,"15","2015-10-16","2015-10-16 00:00:00","Ian Nathan"," https://www.empireonline.com/movies/lobster/review/",2015,10,"pos",0.5,0.49
"Superbob",4,80,"15","2015-10-16","2015-10-16 00:00:00","Chris Hewitt"," https://www.empireonline.com/movies/superbob/review/",2015,10,"pos",0.5,0.5
"Crimson Peak",4,119,"15","2015-10-15","2015-10-15 00:00:00","Dan Jolin"," https://www.empireonline.com/movies/crimson-peak-2/review/",2015,10,"pos",0.96,0.03
"Howl",3,89,"18","2015-10-16","2015-10-13 00:00:00","Kim Newman"," https://www.empireonline.com/movies/howl-2/review/",2015,10,"neg",0.24,0.75
"The Nightmare",3,87,"15","2015-10-08","2015-10-09 00:00:00","David Hughes"," https://www.empireonline.com/movies/nightmare/review/",2015,10,"pos",0.58,0.41
"Red Army",4,84,"15","2015-10-09","2015-10-09 00:00:00","Phil De Semlyen"," https://www.empireonline.com/movies/red-army/review/",2015,10,"pos",0.59,0.4
"Sicario",5,121,"15","2015-10-08","2015-10-05 17:28:00","Dan Jolin"," https://www.empireonline.com/movies/sicario/review/",2015,10,"pos",0.5,0.5
"By Our Selves",4,83,"15","2015-10-02","2015-10-02 00:00:00","David Parkinson"," https://www.empireonline.com/movies/selves/review/",2015,10,"pos",0.64,0.35
"The Intern",3,121,"12A","2015-10-02","2015-10-02 00:00:00","Liz Beardsworth"," https://www.empireonline.com/movies/intern-2/review/",2015,10,"pos",0.62,0.37
"Convenience",4,84,"15","2015-10-02","2015-10-02 00:00:00","Nev Pierce"," https://www.empireonline.com/movies/convenience/review/",2015,10,"neg",0.47,0.52
"Captive",2,97,"12A","2015-09-25","2015-09-25 00:00:00","Chris Hewitt"," https://www.empireonline.com/movies/captive-2/review/",2015,9,"pos",0.64,0.35
"Arcade Fire: The Reflektor Tapes",3,88,"PG","2015-09-25","2015-09-25 00:00:00","Phil De Semlyen"," https://www.empireonline.com/movies/arcade-fire-reflektor-tapes/review/",2015,9,"neg",0.45,0.54
"99 Homes",4,112,"15","2015-09-25","2015-09-25 00:00:00","Adam Smith"," https://www.empireonline.com/movies/99-homes/review/",2015,9,"pos",0.59,0.4
"Just Jim",3,84,"15","2015-09-25","2015-09-25 00:00:00","Kat Poole"," https://www.empireonline.com/movies/just-jim/review/",2015,9,"pos",0.5,0.49
"The Messenger",2,98,"15","2015-09-25","2015-09-25 00:00:00","Kim Newman"," https://www.empireonline.com/movies/messenger-2/review/",2015,9,"neg",0.45,0.54
"Life",3,111,"15","2015-09-25","2015-09-25 00:00:00","Nev Pierce"," https://www.empireonline.com/movies/life-8/review/",2015,9,"pos",0.59,0.4
"McFarland",3,129,"PG","2015-09-25","2015-09-25 00:00:00","Ian Freer"," https://www.empireonline.com/movies/mcfarland/review/",2015,9,"pos",0.5,0.5
"Lessons In Love",2,99,"15","2015-09-25","2015-09-25 00:00:00","Angie Errigo"," https://www.empireonline.com/movies/lessons-love/review/",2015,9,"pos",0.68,0.31
"Mia Madre",4,107,"15","2015-09-25","2015-09-25 00:00:00","Angie Errigo"," https://www.empireonline.com/movies/mia-madre/review/",2015,9,"neg",0.34,0.65
"A Walk In The Woods",3,104,"15","2015-09-18","2015-09-18 00:00:00","Angie Errigo"," https://www.empireonline.com/movies/walk-woods/review/",2015,9,"neg",0.48,0.51
"Infini",2,110,"15","2015-09-18","2015-09-18 00:00:00","David Hughes"," https://www.empireonline.com/movies/infini/review/",2015,9,"pos",0.5,0.5
"The D Train",3,101,"15","2015-09-18","2015-09-18 00:00:00","Kat Poole"," https://www.empireonline.com/movies/d-train/review/",2015,9,"pos",0.54,0.45
"A Girl At My Door",3,119,"18","2015-09-18","2015-09-18 00:00:00","Anna Smith"," https://www.empireonline.com/movies/girl-door/review/",2015,9,"neg",0.42,0.57
"Containment",3,76,"15","2015-09-11","2015-09-11 00:00:00","Kim Newman"," https://www.empireonline.com/movies/containment/review/",2015,9,"pos",0.5,0.5
"Irrational Man",3,95,"12A","2015-09-11","2015-09-11 00:00:00","Ian Freer"," https://www.empireonline.com/movies/irrational-man/review/",2015,9,"pos",0.53,0.46
"Rubble Kings",3,71,"15","2015-09-11","2015-09-11 00:00:00","David Parkinson"," https://www.empireonline.com/movies/rubble-kings/review/",2015,9,"pos",0.57,0.42
"How To Change The World",3,110,"15","2015-09-09","2015-09-09 00:00:00","David Parkinson"," https://www.empireonline.com/movies/change-world/review/",2015,9,"pos",0.71,0.28
"Pasolini",4,84,"18","2019-09-11","2015-09-07 00:00:00","Kim Newman"," https://www.empireonline.com/movies/pasolini/review/",2019,9,"pos",0.5,0.5
"Cartel Land",4,100,"15","2015-09-04","2015-09-04 00:00:00","Patrick Peters"," https://www.empireonline.com/movies/cartel-land/review/",2015,9,"pos",0.5,0.49
"American Ultra",3,95,"15","2015-09-04","2015-09-04 00:00:00","Ian Freer"," https://www.empireonline.com/movies/american-ultra/review/",2015,9,"pos",0.61,0.38
"Ricki And The Flash",2,101,"12A","2015-09-04","2015-09-04 00:00:00","Helen O'hara"," https://www.empireonline.com/movies/ricki-flash/review/",2015,9,"pos",0.78,0.21
"Miss Julie",2,130,"12A","2015-09-04","2015-09-04 00:00:00","David Parkinson"," https://www.empireonline.com/movies/miss-julie-2/review/",2015,9,"neg",0.27,0.72
"Dope",4,102,"15","2015-09-04","2015-09-04 00:00:00","Ian Freer"," https://www.empireonline.com/movies/dope/review/",2015,9,"neg",0.35,0.64
"The Transporter Refuelled",3,96,"15","2015-09-04","2015-09-04 00:00:00","Kim Newman"," https://www.empireonline.com/movies/transporter-refuelled/review/",2015,9,"pos",0.5,0.49
"The Second Mother",4,112,"15","2015-09-04","2015-09-04 00:00:00","Kat Poole"," https://www.empireonline.com/movies/second-mother/review/",2015,9,"pos",0.61,0.38
"No Escape",2,103,"15","2015-09-04","2015-09-04 00:00:00","Simon Crook"," https://www.empireonline.com/movies/escape-3/review/",2015,9,"pos",0.58,0.41
"Me And Earl And The Dying Girl",4,105,"12A","2015-09-04","2015-08-31 17:46:00","Ian Freer"," https://www.empireonline.com/movies/earl-dying-girl/review/",2015,9,"pos",0.75,0.24
"We Are Your Friends",3,96,"15","2015-08-28","2015-08-28 00:00:00","David Hughes"," https://www.empireonline.com/movies/friends-2/review/",2015,8,"pos",0.61,0.38
"Sinister 2",2,97,"15","2015-08-28","2015-08-28 00:00:00","Kim Newman"," https://www.empireonline.com/movies/sinister-2-2/review/",2015,8,"pos",0.65,0.34
"Building Jerusalem",3,90,"12A","2015-08-28","2015-08-28 00:00:00","Patrick Peters"," https://www.empireonline.com/movies/building-jerusalem/review/",2015,8,"pos",0.89,0.1
"45 Years",4,95,"15","2015-08-28","2015-08-28 00:00:00","Ian Freer"," https://www.empireonline.com/movies/45-years/review/",2015,8,"pos",0.56,0.43
"Addicted To Sheep",4,86,"PG","2015-08-28","2015-08-28 00:00:00","David Parkinson"," https://www.empireonline.com/movies/addicted-sheep/review/",2015,8,"neg",0.41,0.58
"Hitman: Agent 47",2,96,"15","2015-08-27","2015-08-27 00:00:00","James Dyer"," https://www.empireonline.com/movies/hitman-agent-47/review/",2015,8,"neg",0.29,0.7
"Escobar: Paradise Lost",2,120,"15","2015-08-21","2015-08-21 00:00:00","Nev Pierce"," https://www.empireonline.com/movies/escobar-paradise-lost/review/",2015,8,"neg",0.41,0.58
"Sinister 2",2,96,"15","2015-08-21","2015-08-21 00:00:00","Kim Newman"," https://www.empireonline.com/movies/sinister-2/review/",2015,8,"pos",0.65,0.34
"The Gift",4,108,"15","2015-08-07","2015-08-04 09:00:00","Kim Newman"," https://www.empireonline.com/movies/gift/review/",2015,8,"pos",0.57,0.42
"Vacation",2,99,"15","2015-08-21","2015-07-29 09:00:00","Simon Creek"," https://www.empireonline.com/movies/vacation/review/",2015,8,"pos",0.54,0.45
"Guardians Of The Galaxy",4,121,"12A","2014-07-31","2015-07-27 17:54:00","Dan Jolin"," https://www.empireonline.com/movies/guardians-galaxy/review/",2014,7,"pos",0.94,0.05
"Pressure",3,89,"15","2015-08-21","2015-07-24 09:00:00","David Hughes"," https://www.empireonline.com/movies/pressure/review/",2015,8,"neg",0.43,0.56
"Strange Magic",2,99,"U","2015-08-28","2015-07-24 09:00:00","Helen O'hara"," https://www.empireonline.com/movies/strange-magic/review/",2015,8,"pos",0.72,0.27
"The Confessions Of Thomas Quick",3,90,"15","2015-08-14","2015-07-24 09:00:00","Patrick Peters"," https://www.empireonline.com/movies/confessions-thomas-quick/review/",2015,8,"pos",0.64,0.35
"Looking For Love",5,119,"15","2015-08-21","2015-07-24 09:00:00","Kh"," https://www.empireonline.com/movies/looking-love/review/",2015,8,"pos",0.52,0.47
"Marshland",4,104,"15","2015-08-07","2015-07-23 09:00:00","Kim Newman"," https://www.empireonline.com/movies/marshland/review/",2015,8,"pos",0.5,0.5
"Max",3,111,"12A","2015-08-07","2015-07-23 09:00:00","James White"," https://www.empireonline.com/movies/max/review/",2015,8,"neg",0.43,0.56
"Trainwreck",4,122,"12A","2015-08-14","2015-07-23 09:00:00","Ian Nathan"," https://www.empireonline.com/movies/trainwreck/review/",2015,8,"pos",0.5,0.5
"Paper Towns",3,109,"12A","2015-08-17","2015-07-23 09:00:00","Ian Freer"," https://www.empireonline.com/movies/paper-towns/review/",2015,8,"pos",0.66,0.33
